Route,Run,Sequence,Bus_Stop_Code
103,2,11,73170
103,2,12,47704
103,2,13,52565
103,2,14,55304
103,2,15,76842
103,2,16,59178
103,2,17,54633
103,2,18,59039
103,2,19,55605
103,2,20,54568
103,2,21,77461
103,2,22,77244
103,2,23,73972
103,2,24,74629
103,2,25,59056
103,2,26,47877
103,2,27,53562
103,2,28,76837
103,2,29,48280
103,2,30,75612
103,2,31,49147
103,2,32,75285
103,2,33,55211
103,2,34,47861
103,2,35,76471
103,2,36,54071
103,2,37,59426
103,2,38,72612
103,2,39,49060
103,2,40,77053
103,2,41,50778
103,2,42,53931
103,2,43,76662
103,2,44,55729
103,4,1,50562
104,1,1,58592
104,1,2,74006
104,1,3,74320
104,1,4,71741
104,1,5,72915
104,1,6,51259
104,1,7,91562
104,1,8,77363
104,1,9,73819
104,1,10,75617
104,1,11,59425
104,1,12,55617
104,1,13,73494
104,1,14,76728
104,1,15,56927
104,1,16,72811
104,1,17,47619
104,1,18,55583
104,1,19,50851
104,1,20,54378
104,1,21,49049
104,1,22,51116
104,1,23,73886
104,1,24,54003
104,1,25,55226
104,1,26,57932
104,1,27,72176
104,1,28,57811
104,1,29,71086
104,1,30,59001
104,1,31,47317
104,1,32,58089
104,1,33,55796
104,1,34,52002
104,1,35,54015
104,1,36,57991
104,2,1,57991
104,2,2,51413
104,2,3,73565
104,2,4,77821
104,2,5,57041
104,2,6,47412
104,2,7,71827
104,2,8,52269
104,2,9,73928
104,2,10,73643
104,2,11,71734
104,2,12,74458
104,2,13,76711
104,2,14,48061
104,2,15,53172
104,2,16,74470
104,2,17,72599
104,2,18,75132
104,2,19,56469
104,2,20,72221
104,2,21,54687
104,2,22,56646
104,2,23,71755
104,2,24,48109
104,2,25,49891
104,2,26,50072
104,2,27,51173
104,2,28,58082
104,2,29,47537
104,2,30,56637
104,2,31,48776
104,2,32,77258
104,2,33,75015
104,2,34,74123
104,2,35,48249
104,2,36,57643
104,2,38,49478
104,2,39,56149
105,1,1,76875
105,1,2,56689
105,1,3,58038
105,1,4,57351
105,1,5,49895
105,1,6,51275
105,1,7,56145
105,1,8,72363
105,1,9,54366
105,1,10,71821
105,1,11,74489
105,1,12,76546
105,1,13,49858
105,1,14,53534
105,1,15,77455
105,1,16,51805
105,1,17,72248
105,1,18,53972
105,1,19,72700
105,1,20,51333
105,1,21,50849
105,1,22,58695
105,1,23,73675
105,1,24,47143
105,1,25,56733
105,1,26,73753
105,1,27,53338
105,1,28,71686
105,1,29,76640
105,1,30,51929
105,1,31,47669
105,1,32,54789
105,1,33,76143
105,1,34,73893
105,1,35,50514
105,1,36,56705
105,1,37,74245
105,1,38,58828
105,1,39,50505
105,1,40,56004
105,1,41,77452
105,1,42,76293
105,1,43,47383
105,1,44,49186
105,2,1,48839
105,2,2,54728
105,2,3,75792
105,2,4,75954
105,2,5,59361
105,2,6,74804
105,2,7,53468
105,2,8,74770
105,2,9,75679
105,2,10,75096
105,2,11,71332
105,2,12,76571
105,2,13,47510
105,2,14,52686
105,2,15,74663
105,2,16,56908
105,2,17,71528
105,2,18,48266
105,2,19,53910
105,2,20,73844
105,2,21,55528
105,2,22,48941
105,2,23,71694
105,2,24,76290
105,2,25,48909
105,2,26,74616
105,2,27,55750
105,2,28,76091
105,2,29,52462
105,2,30,59316
105,2,31,48751
105,2,32,71426
105,2,33,74634
105,2,34,56925
105,2,35,55516
105,2,36,56383
105,2,37,58666
105,2,38,57957
105,2,39,59027
105,2,40,56537
105,2,41,54805
105,2,42,51375
105,2,43,47608
105,2,44,72609
105,2,45,74113
105,2,46,73006
105,2,47,54241
105,2,48,59487
106,1,1,55170
106,1,2,57814
106,1,3,47939
106,1,4,49064
106,1,5,58957
106,1,6,50176
106,1,7,54196
106,1,8,77748
106,1,9,55397
106,1,10,47134
106,1,11,55981
106,1,12,50835
106,1,13,54077
106,1,14,57766
106,1,15,58729
106,1,16,54763
106,1,17,56028
106,1,18,77184
106,1,19,72721
106,1,20,74310
106,1,21,51166
106,1,22,52375
106,1,23,53018
106,1,24,48424
106,1,25,74170
106,1,26,52781
106,1,27,73766
106,1,28,50507
106,1,29,53163
106,1,30,58619
106,1,31,51698
106,1,32,51713
106,1,33,76004
106,1,34,75360
106,2,1,75360
106,2,2,74393
106,2,3,58689
106,2,4,57347
106,2,5,47752
106,2,6,73343
106,2,7,76743
106,2,8,54672
106,2,9,52361
106,2,10,56692
106,2,11,73959
106,2,12,58141
106,2,13,77588
106,2,14,74507
106,2,15,77678
106,2,16,71791
106,2,17,74543
106,2,18,52122
106,2,19,71253
106,2,20,73414
106,2,21,76481
106,2,22,56805
106,2,23,76482
106,2,24,72414
106,2,25,71170
106,2,26,49435
106,2,27,73349
106,2,28,55801
106,2,29,71979
106,2,30,75680
106,2,31,53481
106,2,32,76677
106,2,33,72080
106,2,34,47579
106,2,35,73089
106,2,36,54538
106,2,37,77823
107,1,1,72292
107,1,2,48573
107,1,3,48537
107,1,4,77460
107,1,5,52387
107,1,6,74686
107,1,7,58354
107,1,8,49421
107,1,9,49489
107,1,10,51816
107,1,11,57132
107,1,12,72846
107,1,13,48509
107,1,15,57762
107,1,16,59258
107,1,17,50515
107,1,18,51077
107,1,19,49214
107,1,20,75847
107,1,21,57941
107,1,22,55333
107,1,23,51566
107,1,24,72449
107,1,25,56019
107,1,26,76791
107,1,27,51329
107,1,28,54060
107,1,29,48339
107,1,30,76727
107,1,31,49988
107,1,32,77368
107,1,33,50863
107,1,34,57765
107,1,35,74522
107,1,36,51592
107,1,37,76342
107,1,38,77850
107,1,39,54429
107,1,40,52882
107,1,41,49464
107,1,42,55741
107,1,43,76990
