Route,Direction,Direction_Destination
118,2,BRIXTON STATION  
119,1,THE COLONNADES CROYDON AIRPORT
119,2,BROMLEY NORTH STATION 
120,1,NORTHOLT STATION 
120,2,HOUNSLOW BUS STATION
121,1,TURNPIKE LANE STATION 
121,2,ENFIELD ISLAND VILLAGE
122,1,CRYSTAL PALACE PARADE
122,2,PLUMSTEAD BUS GARAGE
123,1,HAINAULT STREET
123,2,WOOD GREEN STATION 
124,1,SOUTHEND CRESCENT / SOUTHEND CLOSE
124,2,STANSTEAD ROAD
125,1,ST MARY'S CHURCH
125,2,WINCHMORE HILL / STATION ROAD
126,1,ELTHAM HIGH STREET / FOOTS CRAY ROAD
126,2,WESTMORELAND ROAD / SANDFORD ROAD
127,1,TOOTING BROADWAY STATION 
127,2,PURLEY STATION 
128,1,CLAYBURY BROADWAY
128,2,ROMFORD STATION 
129,1,GREENWICH TOWN CENTRE / CUTTY SARK
129,2,NORTH GREENWICH STATION 
130,1,NORWOOD JUNCTION STATION 
130,2,NEW ADDINGTON TRAM STOP >T<
131,1,TOOTING BROADWAY STATION 
131,2,FAIRFIELD BUS STATION
132,1,GEDDES PLACE
132,2,NORTH GREENWICH STATION 
133,1,LIVERPOOL STREET STATION
133,2,STREATHAM STATION 
134,1,TOTTENHAM COURT ROAD STATION 
134,2,TALLY HO CORNER
135,1,PROVOST STREET / MOORFIELDS EYE HOSPITAL
135,2,ISLE OF DOGS ASDA
136,1,PECKHAM BUS STATION
136,2,GROVE PARK BUS STATION
137,1,JOHN PRINCE'S STREET / OXFORD CIRCUS
137,2,"STREATHAM HILL, TELFORD AVENUE"
138,1,CHESTNUT AVENUE
138,2,BROMLEY NORTH STATION 
139,1,WATERLOO STATION / WATERLOO ROAD  
139,2,WEST END GREEN
140,1,LONG ELMES
140,2,HEATHROW CENTRAL BUS STATION
141,1,LONDON BRIDGE STATION  
141,2,TOTTENHALL ROAD
142,1,BRENT CROSS SHOPPING CENTRE
142,2,WOODFORD ROAD
143,1,ARCHWAY STATION  / MACDONALD ROAD
143,2,BRENT CROSS SHOPPING CENTRE
144,1,EDMONTON GREEN BUS STATION
144,2,MUSWELL HILL BROADWAY
145,1,LEYTONSTONE STATION 
145,2,DAGENHAM ASDA
146,1,DOWNE CHURCH
146,2,BROMLEY NORTH STATION 
147,1,PRINCE REGENT BUS STATION [DLR]
147,2,HAINAULT STREET
148,1,WHITE CITY BUS STATION 
148,2,DENMARK HILL / CAMBERWELL GREEN
149,1,LONDON BRIDGE STATION 
149,2,EDMONTON GREEN BUS STATION
150,1,LAMBOURNE ROAD
150,2,BECONTREE HEATH BUS STATION
151,1,WORCESTER PARK STATION 
151,2,WALLINGTON / SHOTFIELD
152,1,WALTON AVENUE
152,2,SOUTH LODGE AVENUE / YORKSHIRE ROAD
153,1,LIVERPOOL STREET STATION
153,2,FINSBURY PARK INTERCHANGE  
154,1,MORDEN STATION 
154,2,WEST CROYDON BUS STATION
155,1,LAMBETH ROAD
155,2,ST GEORGE'S HOSPITAL
156,1,VAUXHALL BUS STATION
156,2,WIMBLEDON STATION   >T<
157,1,MORDEN STATION 
157,2,CRYSTAL PALACE PARADE
158,1,STRATFORD BUS STATION   [DLR]
158,2,CHINGFORD MOUNT
159,1,PADDINGTON BASIN
159,2,STREATHAM STATION 
160,1,SIDCUP STATION 
160,2,CATFORD BRIDGE STATION 
161,1,NORTH GREENWICH STATION 
161,2,CHISLEHURST WAR MEMORIAL
162,1,ELTHAM BUS STATION 
162,2,BECKENHAM JCTN STN  >T</ RECTORY ROAD
163,1,FRANCIS GROVE
163,2,MORDEN STATION 
164,1,FRANCIS GROVE
164,2,SUTTON STATION  / THE QUADRANT
165,1,ABBEY WOOD
165,2,THE BREWERY
166,1,WEST CROYDON BUS STATION
166,2,EPSOM HOSPITAL
167,1,THE BROADWAY
167,2,HAINAULT STREET
168,1,DUNTON ROAD
168,2,SOUTH END GREEN
169,1,BARKING TOWN CENTRE
169,2,CLAYHALL / THE GLADE
170,1,VICTORIA BUS STATION  
170,2,MINSTEAD GARDENS
171,1,HOLBORN STATION 
171,2,CATFORD GARAGE
172,1,KING EDWARD STREET
172,2,BROCKLEY RISE / CHANDOS
173,1,KING GEORGE HOSPITAL
173,2,BECKTON BUS STATION
174,1,C E M E
174,2,DAGNAM PARK SQUARE
175,1,FORD MAIN WORKS
175,2,HILLRISE ESTATE
176,1,TOTTENHAM COURT ROAD STATION
176,2,PENGE / PAWLEYNE ARMS
177,1,PECKHAM BUS STATION
177,2,THAMESMEAD TOWN CENTRE
178,1,LEWISHAM BUS STATION
178,2,THOMAS STREET
179,1,HAINAULT STREET
179,2,CHINGFORD STATION 
180,1,MOLESWORTH STREET
180,2,CRABTREE MANORWAY NORTH
181,1,GROVE PARK BUS STATION
181,2,LEWISHAM BUS STATION
182,1,BRENT CROSS SHOPPING CENTRE
182,2,BANNISTER PLAYING FIELDS
183,1,PINNER STATION  / BRIDGE STREET
183,2,GOLDERS GREEN STATION 
184,1,CHESTERFIELD ROAD
184,2,TURNPIKE LANE STATION 
185,1,VICTORIA STATION 
185,2,LEWISHAM BUS STATION
186,1,BRENT CROSS SHOPPING CENTRE
186,2,ST MARK'S HOSPITAL
187,1,O2 CENTRE / SAINSBURY'S
187,2,CENTRAL MIDDLESEX HOSPITAL
188,1,RUSSELL SQUARE STATION 
188,2,NORTH GREENWICH STATION 
189,1,JOHN PRINCE'S STREET / OXFORD CIRCUS
189,2,BRENT CROSS SHOPPING CENTRE
190,1,EMPRESS STATE BLDG / W BROMPTON STN  
190,2,RICHMOND BUS STATION
191,1,BRIMSDOWN STATION 
191,2,EDMONTON GREEN BUS STATION
192,1,TOTTENHAM HALE STATION  
192,2,LITTLE PARK GARDENS
193,1,ESSEX GARDENS
193,2,QUEEN'S HOSPITAL
194,1,WEST CROYDON BUS STATION
194,2,BELL GREEN / SAINSBURY'S
195,1,ALEXANDRA ROAD
195,2,CHARVILLE LANE ESTATE
196,1,NORWOOD JUNCTION STATION 
196,2,ELEPHANT & CASTLE / NEWINGTON CAUSEWAY
197,1,CROYDON FLYOVER
197,2,PECKHAM BUS STATION
198,1,TALBOT ROAD
198,2,SHRUBLANDS / BRAMBLE CLOSE
199,1,CATFORD GARAGE
199,2,CANADA WATER BUS STATION
200,1,RALEIGH GARDENS
200,2,LAMBTON ROAD
201,1,DULWICH ROAD
201,2,LONDON ROAD / MORDEN STATION 
202,1,BLACKHEATH / ROYAL STANDARD
202,2,CRYSTAL PALACE PARADE
203,1,STAINES BUS STATION
203,2,HOUNSLOW BUS STATION
204,1,EDGWARE STATION 
204,2,SUDBURY TOWN STATION 
205,1,BOW BUS GARAGE
205,2,CLEVELAND TERRACE
206,1,KILBURN PARK STATION 
206,2,THE PADDOCKS
207,1,WHITE CITY BUS STATION 
207,2,HAYES BY-PASS
208,1,ORPINGTON / PERRY HALL ROAD
208,2,LEWISHAM BUS STATION
209,1,HAMMERSMITH BUS STATION
209,2,MORTLAKE BUS STATION
210,1,BRENT CROSS SHOPPING CENTRE
210,2,FINSBURY PARK STATION
211,1,"WATERLOO STATION, UPPER TAXI ROAD "
211,2,HAMMERSMITH BUS STATION
212,1,ST JAMES STREET STATION 
212,2,CHINGFORD STATION 
213,1,SUTTON BUS GARAGE
213,2,FAIRFIELD BUS STATION
214,1,FINSBURY SQUARE
214,2,HIGHGATE SCHOOL
215,1,WALTHAMSTOW BUS STATION
215,2,LEE VALLEY CAMPSITE
216,1,CROMWELL ROAD BUS STATION
216,2,STAINES BUS STATION
217,1,TURNPIKE LANE BUS STATION
217,2,WALTHAM CROSS BUS STATION
219,1,FALCON LANE
219,2,FRANCIS GROVE
220,1,MAPLETON CRESCENT
220,2,WILLESDEN JUNCTION STATION  
221,1,TURNPIKE LANE STATION 
221,2,EDGWARE STATION 
222,1,HOUNSLOW BUS STATION
222,2,BELMONT ROAD
